State,,,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,State Results Website,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,,,60.20%,59.30%,54.70%,"138,846,571","136,700,729","230,585,915","250,055,734",8.40%,"1,456,032","2,254,727","508,576","3,249,802","4,739,596",
Alabama,http://www.alabamavotes.gov/downloads/election/2016/general/2016-Official-General-Election-Results-Certified-2016-11-29.pdf,Official,59.30%,59.00%,56.30%,"2,134,061","2,123,372","3,601,361","3,770,142",2.60%,"30,627","56,700","8,138","71,084",,AL
Alaska,http://www.elections.alaska.gov/results/16GENR/,Official,61.80%,61.30%,57.40%,"321,271","318,608","519,849","555,367",4.30%,"5,338","7,077","2,210","11,582",,AK
Arizona,http://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf,Official,56.20%,55.00%,48.90%,"2,661,497","2,604,657","4,734,313","5,331,034",9.50%,"38,068","76,005","7,379","88,770",,AZ
Arkansas,http://results.enr.clarityelections.com/AR/63912/182850/Web01/en/summary.html,Official,53.10%,52.80%,49.40%,"1,137,772","1,130,635","2,142,571","2,286,625",3.80%,"17,405","28,900","23,093","56,971",,AR
California,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-8-2016/statement-vote/,Official,58.40%,56.70%,47.00%,"14,610,509","14,181,595","25,017,408","30,201,571",16.70%,"129,593",0,0,"129,593",,CA
Colorado,http://results.enr.clarityelections.com/CO/63746/182883/Web01/en/summary.html,Official,72.10%,70.10%,64.60%,"2,859,216","2,780,247","3,966,297","4,305,728",7.20%,"18,708",0,"10,269","28,977",,CO
Connecticut,http://ctemspublic.pcctg.net/#/home,Official,65.40%,64.20%,58.30%,"1,675,955","1,644,920","2,561,555","2,821,935",8.60%,"15,247",0,"2,939","18,186",,CT
Delaware,http://elections.delaware.gov/results/html/election.shtml,Official,64.60%,64.40%,59.20%,"445,228","443,814","689,125","749,872",6.00%,"6,329","15,646",425,"15,672",,DE
District of Columbia,https://www.dcboee.org/election_info/election_results/v3/2016/November-8-General-Election,Official,61.10%,60.90%,55.40%,"312,575","311,268","511,463","562,329",9.00%,0,0,0,0,,DC
Florida,http://enight.elections.myflorida.com/FederalOffices/Presidential/,Official,65.70%,64.60%,56.90%,"9,580,489","9,420,039","14,572,210","16,565,588",10.70%,"94,100","220,769","4,611","224,549",,FL
Georgia,http://results.enr.clarityelections.com/GA/63991/182885/en/summary.html,Official,59.90%,59.20%,52.60%,"4,165,405","4,114,732","6,955,436","7,828,207",7.10%,"49,718","432,235","24,130","320,222",,GA
Hawaii,http://elections.hawaii.gov/wp-content/results/histatewide.pdf,Official,43.00%,42.20%,38.30%,"437,664","428,937","1,016,971","1,120,465",8.70%,"5,795",0,0,"5,795",,HI
Idaho,http://www.sos.idaho.gov/elect/results/2016/General/statewide_totals.html,Official,60.90%,59.10%,55.00%,"710,545","690,255","1,167,200","1,253,925",4.40%,"7,818","32,898","4,875","31,445",,ID
Illinois,https://www.elections.il.gov/ElectionResults.aspx?ID=vlS7uG8NT%2f0%3d,Offiical,63.40%,61.90%,56.10%,"5,666,118","5,536,424","8,943,045","9,866,799",8.90%,"44,539",0,0,"44,539",,IL
Indiana,http://www.in.gov/apps/sos/election/general/general2016,Official,57.90%,56.40%,54.00%,"2,807,676","2,734,958","4,852,657","5,063,393",3.60%,"26,735",0,0,"26,735",,IN
